CONCEPT,LABEL,ACRONYM,SYNONYM,DOMAIN,DEFINITION,EXAMPLE,NOTE,RELATEDCONCEPT
triple,triple,,,RDF,"Knowledge expressed in a three-part grammar, which has been called ""subject, predicate, object"" as well as “resource, property, values.""",,,
triple store,triple store,,,RDF,A database that stores RDF in its native form.,,,
truth conditions,truth conditions,,,semantics,The conditions under which a sentence or a proposition expressed by it is true;,"The statement “I have red hair” is true under the condition that the speaker has, in fact, red hair. It is not true in the abstract, but only when grounded.",,
unambiguous,unambiguous,,,semantics,Refers to specific item or category in requisite level of semantic precision.,,,
unary,unary,,,relation,"One-way relation; pointer.Most relations are binary, which means they are automatically maintained both ways and can be traversed both ways.",,,
unicode,unicode,,,character set,"Character set rich enough to represent non-Latin-based languages, such as Chinese and Burmese.",,,
unified medical language system,unified medical language system,UMLS,,model,Ontology of medical terms used for searching medical literature.,,,
unified modeling language,unified modeling language,UML,,model,Modeling language for object-oriented development popularized by Rational Corporation.,,,
uniform resource identifier,uniform resource identifier,URI,,,Unambiguous location of a resource in RDF.,,,
uniform resource location,uniform resource location,URL,,,A resolvable location on the reachable  Internet.,,,
unique,unique,,,,"There can not be more than one equivalent item of this type within the scope indicated. We may say that customer numbers must be unique (within our organization or database) or we may say that there can only be one successor on a relationship, meaning there can't be more than one of that type in that set.",,,
"universal description, discovery, and integration","universal description, discovery, and integration",UDDI,,model,Standard for a registry or yellow pages for finding services.,,,
unstructured data,unstructured data,,,,"Data (textual, video, sound, graphics) that has not been interpreted, tagged, or structured.",,,
valence,valence,,,,"Number of type of successors to a relationship. Also called the ""n-arity."" Most relationships have a valence of 2 (binary relationships), but relationships with a valence of 3 or 4 are not uncommon.",,,
validation,validation,,,"XML, HTML",Determination that a document obeys all the rules set out in its schema.,,,
veracity,veracity,,,semantics,Degree to which we believe something to be true.,High veracity = high degree in belief in the truth of the assertion.,,
vocabulary,vocabulary,,,lexicography,"List of terms in a particular dialect, often with definitions.",,,
warehouses,warehouses,,,database,"A copy of the operational data of a firm, stored to optimize analytic retrieval instead of updates. Also organized to be robust in regard to changes in the structure of the operational databases or the hierarchical rollups of the dimensions.",,,
Web 2.0,Web 2.0,,,,"Web based capability characterized by collaboration and user-created content, including blogs and wikis.",,,
Web ontology language,Web ontology language,OWL,,standards,Successor to DAML + OIL a W3C standard.,,"The origin of the dyslexic acronym is attributed to the owl in Winnie the Pooh who spelled his name ""WOL.""",
Web services,Web services,,,architecture,RPC in which the request is in XML. Allows caller and receiver to be in different technologies as long as each can queue the message and process the XML request or response.,,,
well formedness,well formedness,,,"XML, HTML","Property that a given tagged document adheres to the rules of documents of that type (e.g., all the tags match). Does not require a schema. See validation. Note that most HTML tools and browsers have become slack on well formedness, to the point where one cannot rely on HTML tags matching.",,,
WordNet,WordNet,,,ontology,"Open source dictionary of the English language. Built as a searchable graph with disambiguation of word senses and thesaurus-style linking of similar word senses. Many of the concepts have hypernymy, polysymy, and mereologic links.",,,
World Wide Web,World Wide Web,WWW,,,"The layer on top of the Internet that most people now think of as the Internet. Includes Web servers that are reachable by URLs and DNS, that accept HTTP reuqests on port 80 and that serve up user Interfaces in HTML.",,,
World Wide Web Consortium,World Wide Web Consortium,W3C,,,Non profit organization responsible for maintaining the standards upon which the World Wide Web is based.,,,
WSDL,WSDL,,,standards,"Standard for defining the interface to a Web service, expressed as an XSD dialect. Pronounced ""whizdull.""",,,
WSDL/S,WSDL/S,,,SOA,,,,See SAWSDL.
XMI,XMI,,,XML,Standard for interchanging metadata.,,,
XML schema,XML schema,XSD,,XML,"Schema language for XML, expressed in XML (as opposed to DTD, which was not in XML).",,,
XML style sheet language,XML style sheet language,XSL,,XML,Declarative language creating a style sheet for XML documents.,,,
XPath,XPath,,,XML,Declarative way to define a subset of an XML document that you are interested in. Robust in regard to many structural changes to the document.,,,
XQuery,XQuery,,,XML,Query language for retrieving data from an XML document or XML database.,,,
